1,MERG1,1ERG1M1,1
2,SERG2,2ERG2S2,2
3,DIRO3,3IRO3D3,3
4,JIKH4,4IKH4J4,4
5,MFER5,5FER5M5,5
6,CCOX6,6COX6C6,6
7,DNER7,7NER7D7,7
8,AURY8,8URY8A8,8
9,VLI9,9LI9V9,9
10,CEIN10,10EIN10C10,10
11,AYIM11,11YIM11A11,11
12,CARD12,12ARD12C12,12
13,AKRE13,13KRE13A13,13
14,AAND14,14AND14A14,14
15,AERS15,15ERS15A15,15
16,AINK16,16INK16A16,16
17,AUND17,17UND17A17,17
18,AODT18,18ODT18A18,18
19,AMOT19,19MOT19A19,19
20,ARUD20,20RUD20A20,20
21,ASON21,21SON21A21,21
22,ARUD22,22RUD22A22,22
23,AANT23,23ANT23A23,23
24,AEMA24,24EMA24A24,24
25,ATAD25,25TAD25A25,25
26,AHUS26,26HUS26A26,26
27,ARON27,27RON27A27,27
28,AONS28,28ONS28A28,28
29,ASON29,29SON29A29,29
30,AOLD30,30OLD30A30,30
31,AAAS31,31AAS31A31,31
32,ASBY32,32SBY32A32,32
33,AASE33,33ASE33A33,33
34,ASEN34,34SEN34A34,34
35,AANG35,35ANG35A35,35
36,ABAD36,36BAD36A36,36
37,AADI37,37ADI37A37,37
38,ADIE38,38DIE38A38,38
39,AAIR39,39AIR39A39,39
40,AAJA40,40AJA40A40,40
